Loyalty#,First Name,Last Name,Customer Name,Country,Province or State,City,Latitude,Longitude,Postal code,Gender,Education,Location Code,Income,Marital Status,LoyaltyStatus,EnrollmentDateOpening,CancellationDate,Customer Lifetime Value,EnrollmentType,IsActive,EndDate,CustomerTenureDays,total_flights,total_flights_with_companions,total_distance,total_points_accumulated,total_points_redeemed,total_cost_redeemed,points_redemption_ratio,companion_flight_ratio
599341,Shaunna,Books,Shaunna Books,Canada,Quebec,Tremblant,46.118462,-74.596184,H5Y 2S9,female,Bachelor,Rural,31409.0,Married,Star,2018-11-22,,3891.54,Standard,1,2025-10-13,2517,290,59,709722.0,70961.8,22000.7,216.2,0.310035822090195,0.20344827586206896
333502,Shawnda,Valladares,Shawnda Valladares,Canada,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,male,College,Urban,0.0,Married,Star,2017-03-04,,3891.58,Standard,1,2025-10-13,3145,184,38,337413.3,33735.33,3206.0,32.0,0.09503390066141341,0.20652173913043478
201574,Trudy,Roscoe,Trudy Roscoe,Canada,Ontario,Ottawa,45.421532,-75.697189,K1F 2R2,female,Bachelor,Suburban,26605.0,Married,Star,2018-04-06,2018-12-06,3893.31,Standard,0,2018-12-06,244,0,0,0.0,0.0,0.0,0.0,0.0,0.0
403361,Inell,Zeno,Inell Zeno,Canada,British Columbia,Vancouver,49.28273,-123.12074,V1E 4R6,male,Bachelor,Rural,52361.0,Single,Star,2020-10-24,,3895.03,Standard,1,2025-10-13,1815,77,18,183740.2,18369.92,0.0,0.0,0.0,0.23376623376623376
543918,Penni,Gess,Penni Gess,Canada,Quebec,Montreal,45.50169,-73.567253,H2T 2J6,male,High School or Below,Urban,10853.0,Married,Star,2015-11-19,,3896.57,Standard,1,2025-10-13,3616,263,100,446761.3,44664.93,42811.3,424.1,0.9584992073199264,0.38022813688212925
806030,Rasheeda,Simenson,Rasheeda Simenson,Canada,Alberta,Calgary,51.048615,-114.07085,T3E 2V9,female,Bachelor,Urban,60068.0,Married,Star,2021-05-03,,3903.47,Standard,1,2025-10-13,1624,50,6,126460.0,12642.0,4653.0,46.0,0.3680588514475558,0.12
119200,Bari,Seraille,Bari Seraille,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,female,Bachelor,Rural,51833.0,Divorced,Star,2020-05-08,,3903.8,Standard,1,2025-10-13,1984,143,39,271815.3,27176.13,8116.0,80.0,0.29864443539238295,0.2727272727272727
175967,Jolyn,Podvin,Jolyn Podvin,Canada,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,male,Bachelor,Suburban,60230.0,Married,Star,2021-02-15,,3906.67,2021 Promotion,1,2025-10-13,1701,187,49,283610.6,28355.06,5137.6,51.3,0.18118811951023908,0.2620320855614973
238119,Aundrea,Difranco,Aundrea Difranco,Canada,Quebec,Montreal,45.50169,-73.567253,H2T 9K8,male,Bachelor,Rural,60230.0,Married,Star,2016-05-19,,3906.67,Standard,1,2025-10-13,3434,248,52,410443.5,41036.05,5061.0,50.0,0.12333058371846217,0.20967741935483872
730388,Gaynelle,Garnette,Gaynelle Garnette,Canada,Ontario,Thunder Bay,48.380894,-89.247681,K8T 5M5,male,College,Rural,0.0,Single,Star,2015-05-02,,3907.03,Standard,1,2025-10-13,3817,239,62,535390.6,53530.86,0.0,0.0,0.0,0.2594142259414226
834891,Wendell,Besley,Wendell Besley,Canada,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,female,Bachelor,Rural,30821.0,Married,Star,2020-03-08,2020-04-18,3911.12,Standard,0,2020-04-18,41,0,0,0.0,0.0,0.0,0.0,0.0,0.0
127400,Cassandra,Easlick,Cassandra Easlick,Canada,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,female,College,Rural,0.0,Single,Star,2017-06-26,,3914.72,Standard,1,2025-10-13,3031,150,30,404554.7,40448.67,8162.4,79.8,0.2017964991185124,0.2
324557,Bethanie,Kolander,Bethanie Kolander,Canada,Quebec,Montreal,45.50169,-73.567253,H2Y 2W2,female,College,Urban,0.0,Single,Star,2016-02-24,,3914.72,Standard,1,2025-10-13,3519,158,36,363147.2,36306.52,10199.2,100.7,0.2809192398500325,0.22784810126582278
742002,Carolyne,Purdue,Carolyne Purdue,Canada,Ontario,Toronto,43.653225,-79.383186,P2T 6G3,female,College,Urban,0.0,Single,Star,2019-05-15,,3915.8,Standard,1,2025-10-13,2343,140,35,269961.2,26990.920000000002,4383.0,43.0,0.16238794379739555,0.25
536567,Clint,Maravilla,Clint Maravilla,Canada,Alberta,Peace River,56.23418,-117.28938,T9O 2W2,male,Bachelor,Suburban,66676.0,Married,Star,2019-05-12,,3919.37,Standard,1,2025-10-13,2346,268,49,431599.3,43152.03,9776.0,96.0,0.2265478588145216,0.1828358208955224
704835,Elvina,Kurtich,Elvina Kurtich,Canada,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,male,Bachelor,Urban,66676.0,Married,Star,2019-09-17,,3919.37,Standard,1,2025-10-13,2218,186,52,353867.0,35380.2,18588.4,182.4,0.5253899073493085,0.27956989247311825
733338,Raphael,Muskrat,Raphael Muskrat,Canada,Ontario,Thunder Bay,48.380894,-89.247681,K8T 5M5,female,Bachelor,Rural,66676.0,Married,Star,2019-06-03,2020-02-03,3919.37,Standard,0,2020-02-03,245,31,7,48560.2,4855.22,0.0,0.0,0.0,0.22580645161290322
758635,Stephany,Loft,Stephany Loft,Canada,Quebec,Montreal,45.50169,-73.567253,H2T 9K8,male,Bachelor,Suburban,66676.0,Married,Star,2021-06-20,,3919.37,Standard,1,2025-10-13,1576,31,7,34535.0,3453.0,0.0,0.0,0.0,0.22580645161290322
823048,Echo,Wendy,Echo Wendy,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,male,Bachelor,Urban,66676.0,Married,Star,2021-05-09,,3919.37,Standard,1,2025-10-13,1618,59,8,147741.0,14771.0,0.0,0.0,0.0,0.13559322033898305
612905,Frankie,Lapitan,Frankie Lapitan,Canada,Ontario,Toronto,43.653225,-79.383186,P2T 6G3,female,College,Rural,0.0,Married,Star,2018-02-28,,3920.51,Standard,1,2025-10-13,2784,182,68,305718.3,30563.93,8880.6,87.4,0.2905581841078683,0.37362637362637363
679908,Deon,Biery,Deon Biery,Canada,Quebec,Montreal,45.50169,-73.567253,H4G 3T4,female,Bachelor,Rural,62445.0,Married,Star,2018-08-15,,3921.02,Standard,1,2025-10-13,2616,207,41,468380.5,46827.65,11810.0,116.7,0.25220142373149196,0.19806763285024154
704150,Raymond,Hokkanen,Raymond Hokkanen,Canada,Manitoba,Winnipeg,49.895138,-97.138374,R6Y 4T5,male,Bachelor,Urban,62445.0,Married,Star,2017-10-27,,3921.02,Standard,1,2025-10-13,2908,196,50,391966.7,39191.37,10643.2,103.9,0.27156999104649826,0.25510204081632654
869743,Sima,Parton,Sima Parton,Canada,Ontario,Sudbury,46.522099,-80.953033,M5V 1G5,female,Bachelor,Suburban,56480.0,Single,Star,2019-11-10,2020-07-10,3924.42,Standard,0,2020-07-10,243,97,17,197172.5,19714.75,0.0,0.0,0.0,0.17525773195876287
596179,Kathryne,Kloeck,Kathryne Kloeck,Canada,New Brunswick,Fredericton,45.963589,-66.643112,E3B 2H2,female,Bachelor,Suburban,25927.0,Single,Star,2017-03-28,,3933.81,Standard,1,2025-10-13,3121,241,42,312140.4,31206.74,0.0,0.0,0.0,0.17427385892116182
370450,Cathryn,Sundell,Cathryn Sundell,Canada,Ontario,Thunder Bay,48.380894,-89.247681,K8T 5M5,female,High School or Below,Urban,20920.0,Married,Star,2015-11-02,,3934.1,Standard,1,2025-10-13,3633,209,74,505415.1,50533.41,20941.8,207.1,0.4144149385525338,0.35406698564593303
501030,Ciera,Kalfa,Ciera Kalfa,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,male,Bachelor,Urban,84229.0,Married,Star,2020-03-25,,3934.71,Standard,1,2025-10-13,2028,135,25,263235.7,26318.37,0.0,0.0,0.0,0.18518518518518517
878633,Victor,Toplin,Victor Toplin,Canada,Ontario,Trenton,44.101128,-77.576309,K8V 4B2,female,Doctor,Rural,19245.0,Married,Star,2016-12-02,,3936.79,Standard,1,2025-10-13,3237,243,52,513775.1,51369.51,0.0,0.0,0.0,0.2139917695473251
285938,Glen,Randall,Glen Randall,Canada,Quebec,Montreal,45.50169,-73.567253,H2T 2J6,female,Bachelor,Suburban,60021.0,Married,Star,2017-09-03,,3939.01,Standard,1,2025-10-13,2962,193,72,391451.2,39136.32,5019.0,50.0,0.12824404542890083,0.37305699481865284
588237,Teresia,Mckendry,Teresia Mckendry,Canada,Quebec,Tremblant,46.118462,-74.596184,H5Y 2S9,male,Bachelor,Rural,60021.0,Married,Star,2016-11-25,,3939.01,Standard,1,2025-10-13,3244,185,31,357115.5,35705.15,23422.8,231.6,0.6560062063875939,0.16756756756756758
645280,Natalya,Boardwine,Natalya Boardwine,Canada,British Columbia,West Vancouver,49.328625,-123.16019,V6V 8Z3,male,Bachelor,Suburban,60021.0,Married,Star,2015-12-15,,3939.01,Standard,1,2025-10-13,3590,229,45,386554.8,38646.18,12089.7,119.7,0.3128304013488526,0.1965065502183406
864324,Cherri,Flavell,Cherri Flavell,Canada,Quebec,Quebec City,46.813877,-71.207977,G1B 3L5,female,Bachelor,Rural,60021.0,Married,Star,2021-06-03,,3939.01,Standard,1,2025-10-13,1593,222,54,419018.0,41894.1,18192.1,180.2,0.4342401436001728,0.24324324324324326
124678,Eddie,Ribsamen,Eddie Ribsamen,Canada,Nova Scotia,Halifax,44.648766,-63.575237,B3J 9S2,male,Doctor,Urban,18375.0,Married,Star,2016-06-13,,3954.34,Standard,1,2025-10-13,3409,254,52,423218.2,42311.52,4252.2,41.8,0.10049745317587268,0.2047244094488189
186015,Florrie,Thach,Florrie Thach,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,male,Doctor,Rural,18375.0,Married,Star,2018-09-05,,3954.34,Standard,1,2025-10-13,2595,186,51,314274.5,31420.35,12508.0,123.0,0.39808595384838175,0.27419354838709675
461108,Polly,Mayville,Polly Mayville,Canada,Quebec,Montreal,45.50169,-73.567253,H2T 9K8,male,Doctor,Urban,18375.0,Married,Star,2021-10-15,,3954.34,Standard,1,2025-10-13,1459,6,0,23987.0,2398.0,0.0,0.0,0.0,0.0
589580,Elodia,Kieffer,Elodia Kieffer,Canada,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,male,Doctor,Suburban,18375.0,Married,Star,2018-08-27,,3954.34,Standard,1,2025-10-13,2604,249,47,378413.9,37834.590000000004,14980.5,148.0,0.39594720069650546,0.18875502008032127
623688,Dwayne,Cimaglia,Dwayne Cimaglia,Canada,Ontario,London,42.984924,-81.245277,M5B 3E4,female,Doctor,Rural,18375.0,Married,Star,2019-05-07,,3954.34,Standard,1,2025-10-13,2351,252,70,361537.2,36145.520000000004,19887.2,195.3,0.5501981988362596,0.2777777777777778
751616,Rocco,Niederhauser,Rocco Niederhauser,Canada,Ontario,Trenton,44.101128,-77.576309,K8V 4B2,female,Doctor,Suburban,18375.0,Married,Star,2021-04-17,,3954.34,2021 Promotion,1,2025-10-13,1640,87,27,240975.1,24095.61,9049.7,89.3,0.37557463786971984,0.3103448275862069
256147,Joleen,Gessford,Joleen Gessford,Canada,Ontario,Toronto,43.653225,-79.383186,M1R 4K3,female,College,Suburban,0.0,Married,Star,2015-09-04,,3958.0,Standard,1,2025-10-13,3692,228,82,487033.8,48697.08,4864.0,47.5,0.09988278557975139,0.35964912280701755
329382,Ngoc,Dubuisson,Ngoc Dubuisson,Canada,Quebec,Montreal,45.50169,-73.567253,H2T 9K8,male,College,Suburban,0.0,Single,Star,2015-08-27,,3961.59,2021 Promotion,1,2025-10-13,3700,0,0,0.0,0.0,0.0,0.0,0.0,0.0
140392,Hilary,Shain,Hilary Shain,Canada,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,female,Bachelor,Rural,88701.0,Married,Star,2016-07-22,,3963.39,Standard,1,2025-10-13,3370,168,59,272882.9,27279.69,13960.0,138.4,0.511736020460643,0.35119047619047616
541008,Jeanmarie,Resch,Jeanmarie Resch,Canada,Ontario,London,42.984924,-81.245277,M5B 3E4,male,Bachelor,Suburban,38096.0,Divorced,Star,2021-04-04,,3963.4,2021 Promotion,1,2025-10-13,1653,52,24,88193.0,8816.0,0.0,0.0,0.0,0.46153846153846156
230908,Carmelia,Burkham,Carmelia Burkham,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,male,Doctor,Suburban,23474.0,Divorced,Star,2015-05-27,,3964.15,Standard,1,2025-10-13,3792,270,36,542548.4,54243.84,13301.9,133.0,0.24522415817169288,0.13333333333333333
972581,Quiana,Ciolli,Quiana Ciolli,Canada,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,male,High School or Below,Rural,14616.0,Married,Star,2019-02-13,,3964.53,Standard,1,2025-10-13,2434,146,39,289353.9,28931.19,14199.0,140.7,0.49078520448000934,0.2671232876712329
357549,Elisha,Furna,Elisha Furna,Canada,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,female,Bachelor,Rural,60817.0,Single,Star,2021-09-21,2019-05-21,3964.73,Standard,0,2019-05-21,-854,0,0,0.0,0.0,0.0,0.0,0.0,0.0
157729,Tobi,Kriss,Tobi Kriss,Canada,British Columbia,Victoria,48.428421,-123.36565,V10 6T5,male,Bachelor,Rural,72439.0,Married,Star,2021-03-18,,3966.13,2021 Promotion,1,2025-10-13,1670,58,13,95646.0,9562.0,0.0,0.0,0.0,0.22413793103448276
910875,Alaina,Rumble,Alaina Rumble,Canada,Quebec,Hull,45.42873,-75.713364,J8Y 3Z5,female,Bachelor,Urban,72439.0,Married,Star,2015-11-03,,3966.13,Standard,1,2025-10-13,3632,158,25,345899.7,34582.77,3884.0,38.0,0.11231026317440738,0.15822784810126583
501704,Jadwiga,Howry,Jadwiga Howry,Canada,Quebec,Hull,45.42873,-75.713364,J8Y 3Z5,male,College,Suburban,0.0,Divorced,Star,2016-05-03,,3974.86,Standard,1,2025-10-13,3450,188,50,376675.4,37657.840000000004,45023.5,446.1,1.1955943304236247,0.26595744680851063
529098,Sherril,Roofner,Sherril Roofner,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,female,College,Urban,0.0,Divorced,Star,2020-10-23,,3974.86,Standard,1,2025-10-13,1816,97,29,180694.2,18064.92,17148.8,169.3,0.949287348075718,0.29896907216494845
265297,Ebonie,Radde,Ebonie Radde,Canada,Manitoba,Winnipeg,49.895138,-97.138374,R2C 0M5,female,Bachelor,Urban,39101.0,Married,Star,2021-07-17,2019-03-17,3978.67,Standard,0,2019-03-17,-853,38,3,46838.0,4683.0,0.0,0.0,0.0,0.07894736842105263
567875,Lady,Tlumacki,Lady Tlumacki,Canada,Quebec,Quebec City,46.813877,-71.207977,G1B 3L5,female,Bachelor,Suburban,96413.0,Married,Star,2020-05-15,,3979.72,Standard,1,2025-10-13,1977,72,17,242338.7,24230.97,0.0,0.0,0.0,0.2361111111111111
688524,Darius,Dehnert,Darius Dehnert,Canada,Manitoba,Winnipeg,49.895138,-97.138374,R2C 0M5,female,Bachelor,Urban,98333.0,Married,Star,2016-03-26,,3980.42,Standard,1,2025-10-13,3488,129,35,268011.7,26796.27,40394.0,399.1,1.5074486113179184,0.2713178294573643
269070,Virginia,Swida,Virginia Swida,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,male,Master,Rural,17220.0,Married,Star,2016-01-14,,3985.32,Standard,1,2025-10-13,3560,214,59,541874.8,54180.38,15904.8,158.4,0.29355275839704337,0.2757009345794392
387705,Paulene,Saluan,Paulene Saluan,Canada,Quebec,Hull,45.42873,-75.713364,J8Y 3Z5,female,Master,Suburban,17220.0,Married,Star,2016-04-30,,3985.32,Standard,1,2025-10-13,3453,224,47,451126.1,45104.91,16678.9,164.3,0.3697801414524494,0.20982142857142858
923293,Lauretta,Craze,Lauretta Craze,Canada,Saskatchewan,Regina,50.44521,-104.6189,S6J 3G0,male,Bachelor,Suburban,75007.0,Divorced,Star,2019-06-12,,3985.55,Standard,1,2025-10-13,2315,233,58,463259.9,46315.29,9601.1,94.8,0.20729871280089146,0.24892703862660945
283314,Vi,Scialdone,Vi Scialdone,Canada,Ontario,Toronto,43.653225,-79.383186,M2Z 4K1,female,Bachelor,Suburban,54964.0,Married,Star,2016-04-17,2018-02-03,3991.73,Standard,0,2018-02-03,657,0,0,0.0,0.0,0.0,0.0,0.0,0.0
322102,Hermelinda,Hilst,Hermelinda Hilst,Canada,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,male,College,Suburban,0.0,Married,Star,2016-08-19,2017-04-19,3992.58,Standard,0,2017-04-19,243,0,0,0.0,0.0,0.0,0.0,0.0,0.0
789157,Lenora,Millhiser,Lenora Millhiser,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,female,College,Rural,0.0,Single,Star,2021-09-25,,3995.36,Standard,1,2025-10-13,1479,12,0,24808.0,2480.0,0.0,0.0,0.0,0.0
654748,Lona,Hyer,Lona Hyer,Canada,Ontario,Ottawa,45.421532,-75.697189,K1F 2R2,female,Bachelor,Rural,46210.0,Married,Star,2020-04-03,2020-12-03,3996.77,Standard,0,2020-12-03,244,87,16,165529.9,16549.89,0.0,0.0,0.0,0.1839080459770115
984713,Remedios,Swinea,Remedios Swinea,Canada,Ontario,Sudbury,46.522099,-80.953033,M5V 1G5,female,College,Suburban,0.0,Single,Star,2021-08-04,,3997.48,Standard,1,2025-10-13,1531,15,9,27142.0,2713.0,4552.0,45.0,1.6778474014006635,0.6
114835,Willard,Powal,Willard Powal,Canada,Ontario,Toronto,43.653225,-79.383186,M1R 4K3,female,Master,Suburban,19782.0,Divorced,Star,2020-07-03,,4001.52,Standard,1,2025-10-13,1928,129,29,350346.8,35028.88,0.0,0.0,0.0,0.2248062015503876
328936,Yvonne,Tear,Yvonne Tear,Canada,Ontario,Thunder Bay,48.380894,-89.247681,K8T 5M5,female,Bachelor,Suburban,28987.0,Married,Star,2018-03-21,,4005.72,Standard,1,2025-10-13,2763,231,75,360861.1,36080.01,13702.8,134.9,0.3797892517213825,0.3246753246753247
845864,Josue,Disalvi,Josue Disalvi,Canada,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,female,Doctor,Urban,15413.0,Married,Star,2016-04-24,,4013.85,Standard,1,2025-10-13,3459,217,61,485373.3,48529.03,20858.2,207.1,0.42980871449522073,0.28110599078341014
645265,Stella,Nageotte,Stella Nageotte,Canada,Quebec,Quebec City,46.813877,-71.207977,G1B 3L5,male,Bachelor,Suburban,56586.0,Married,Star,2016-03-05,,4013.95,Standard,1,2025-10-13,3509,167,35,512496.6,51241.86,2947.0,29.0,0.05751157354553484,0.20958083832335328
223587,Nelia,Gallipo,Nelia Gallipo,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,female,Bachelor,Rural,93284.0,Married,Star,2020-08-20,,4013.96,Standard,1,2025-10-13,1880,130,23,279048.3,27897.83,8618.4,85.5,0.3089272534817224,0.17692307692307693
